Time,RPM
8.276,2586.56489072522
8.277,2586.80549911479
8.278,2587.04610816258
8.279,2587.28671786672
8.28,2587.52732822535
8.281,2587.76793923659
8.282,2588.00855089857
8.283,2588.24916320943
8.284,2588.48977616729
8.285,2588.73038977028
8.286,2588.97100401653
8.287,2589.21161890418
8.288,2589.45223443135
8.289,2589.69285059617
8.29,2589.93346739677
8.291,2590.17408483129
8.292,2590.41470289784
8.293,2590.65532159457
8.294,2590.8959409196
8.295,2591.13656087107
8.296,2591.37718144709
8.297,2591.61780264581
8.298,2591.85842446535
8.299,2592.09904690384
8.3,2592.33966995941
8.301,2592.58029363019
8.302,2592.82091791431
8.303,2593.06154280991
8.304,2593.3021683151
8.305,2593.54279442803
8.306,2593.78342114681
8.307,2594.02404846959
8.308,2594.26467639449
8.309,2594.50530491964
8.31,2594.74593404317
8.311,2594.98656376321
8.312,2595.22719407789
8.313,2595.46782498534
8.314,2595.70845648369
8.315,2595.94908857107
8.316,2596.18972124561
8.317,2596.43035450543
8.318,2596.67098834868
8.319,2596.91162277348
8.32,2597.15225777796
8.321,2597.39289336025
8.322,2597.63352951847
8.323,2597.87416625077
8.324,2598.11480355527
8.325,2598.35544143009
8.326,2598.59607987337
8.327,2598.83671888324
8.328,2599.07735845783
8.329,2599.31799859527
8.33,2599.55863929369
8.331,2599.79928055122
8.332,2600.03992236598
8.333,2600.28056473612
8.334,2600.52120765975
8.335,2600.76185113501
8.336,2601.00249516002
8.337,2601.24313973293
8.338,2601.48378485185
8.339,2601.72443051492
8.34,2601.96507672027
8.341,2602.20572346603
8.342,2602.44637075032
8.343,2602.68701857128
8.344,2602.92766692704
8.345,2603.16831581572
8.346,2603.40896523546
8.347,2603.64961518439
8.348,2603.89026566064
8.349,2604.13091666233
8.35,2604.3715681876
8.351,2604.61222023458
